,ChampionshipWinner,Season,Championship,Country,CoachWinner 
1481,Újpest FC,1945/1946,NemzetiBajnokság_1945/1946,Hungary,Pál Jávor †
1482,Újpest FC,1944/1945,NemzetiBajnokság_1944/1945,Hungary,Pál Jávor †
1483,Nagyváradi AC,1943/1944,NemzetiBajnokság_1943/1944,Hungary,-
1484,Csepel FC,1942/1943,NemzetiBajnokság_1942/1943,Hungary,Pál Jávor †
1485,Csepel FC,1941/1942,NemzetiBajnokság_1941/1942,Hungary,Pál Jávor †
1486,Ferencvárosi TC,1940/1941,NemzetiBajnokság_1940/1941,Hungary,-
1487,Ferencvárosi TC,1939/1940,NemzetiBajnokság_1939/1940,Hungary,-
1488,Újpest FC,1938/1939,NemzetiBajnokság_1938/1939,Hungary,Béla Guttmann
1489,Ferencvárosi TC,1937/1938,NemzetiBajnokság_1937/1938,Hungary,-
1490,Hungária Football Club,1936/1937,NemzetiBajnokság_1936/1937,Hungary,Alfréd Schaffer
1491,Hungária Football Club,1935/1936,NemzetiBajnokság_1935/1936,Hungary,Alfréd Schaffer
1492,Újpest FC,1934/1935,NemzetiBajnokság_1934/1935,Hungary,-
1493,Ferencvárosi TC,1933/1934,NemzetiBajnokság_1933/1934,Hungary,-
1494,Újpest FC,1932/1933,NemzetiBajnokság_1932/1933,Hungary,István Tóth-Potya
1495,Ferencvárosi TC,1931/1932,NemzetiBajnokság_1931/1932,Hungary,Zoltán Blum
1496,Újpest FC,1930/1931,NemzetiBajnokság_1930/1931,Hungary,-
1497,Újpest FC,1929/1930,NemzetiBajnokság_1929/1930,Hungary,-
1498,Hungária Football Club,1928/1929,NemzetiBajnokság_1928/1929,Hungary,-
1499,Ferencvárosi TC,1927/1928,NemzetiBajnokság_1927/1928,Hungary,István Tóth-Potya
1500,Ferencvárosi TC,1926/1927,NemzetiBajnokság_1926/1927,Hungary,István Tóth-Potya
1501,Ferencvárosi TC,1925/1926,NemzetiBajnokság_1925/1926,Hungary,István Tóth-Potya
1502,MTK Budapest,1924/1925,NemzetiBajnokság_1924/1925,Hungary,-
1503,MTK Budapest,1923/1924,NemzetiBajnokság_1923/1924,Hungary,-
1504,MTK Budapest,1922/1923,NemzetiBajnokság_1922/1923,Hungary,-
1505,MTK Budapest,1921/1922,NemzetiBajnokság_1921/1922,Hungary,-
1506,MTK Budapest,1920/1921,NemzetiBajnokság_1920/1921,Hungary,Jimmy Hogan
1507,MTK Budapest,1919/1920,NemzetiBajnokság_1919/1920,Hungary,Jimmy Hogan
1508,MTK Budapest,1918/1919,NemzetiBajnokság_1918/1919,Hungary,Jimmy Hogan
1509,MTK Budapest,1917/1918,NemzetiBajnokság_1917/1918,Hungary,Jimmy Hogan
1510,MTK Budapest,1916/1917,NemzetiBajnokság_1916/1917,Hungary,Jimmy Hogan
1511,MTK Budapest,1913/1914,NemzetiBajnokság_1913/1914,Hungary,-
1512,Ferencvárosi TC,1912/1913,NemzetiBajnokság_1912/1913,Hungary,-
1513,Ferencvárosi TC,1911/1912,NemzetiBajnokság_1911/1912,Hungary,-
1514,Ferencvárosi TC,1910/1911,NemzetiBajnokság_1910/1911,Hungary,-
1515,Ferencvárosi TC,1909/1910,NemzetiBajnokság_1909/1910,Hungary,-
1516,Ferencvárosi TC,1908/1909,NemzetiBajnokság_1908/1909,Hungary,-
1517,MTK Budapest,1907/1908,NemzetiBajnokság_1907/1908,Hungary,-
1518,Ferencvárosi TC,1906/1907,NemzetiBajnokság_1906/1907,Hungary,-
1519,Ferencvárosi TC,1904/1905,NemzetiBajnokság_1904/1905,Hungary,-
1520,MTK Budapest,1903/1904,NemzetiBajnokság_1903/1904,Hungary,-
1521,Ferencvárosi TC,1902/1903,NemzetiBajnokság_1902/1903,Hungary,-
1522,Budapesti TC,1901/1902,NemzetiBajnokság_1901/1902,Hungary,-
1523,Budapesti TC,1900/1901,NemzetiBajnokság_1900/1901,Hungary,-
1524,KR Reykjavík,2018/2019,PepsiMaxdeild_2018/2019,Iceland,Rúnar Kristinsson
1525,Valur Reykjavík,2017/2018,PepsiMaxdeild_2017/2018,Iceland,-
1526,Valur Reykjavík,2016/2017,PepsiMaxdeild_2016/2017,Iceland,Ólafur Jóhannesson
1527,FH Hafnarfjördur,2015/2016,PepsiMaxdeild_2015/2016,Iceland,Heimir Gudjónsson
1528,FH Hafnarfjördur,2014/2015,PepsiMaxdeild_2014/2015,Iceland,Heimir Gudjónsson
1529,Stjarnan Gardabaer,2013/2014,PepsiMaxdeild_2013/2014,Iceland,Rúnar Páll Sigmundsson
1530,KR Reykjavík,2012/2013,PepsiMaxdeild_2012/2013,Iceland,Rúnar Kristinsson
1531,FH Hafnarfjördur,2011/2012,PepsiMaxdeild_2011/2012,Iceland,Heimir Gudjónsson
1532,KR Reykjavík,2010/2011,PepsiMaxdeild_2010/2011,Iceland,Rúnar Kristinsson
1533,Breidablik Kópavogur,2009/2010,PepsiMaxdeild_2009/2010,Iceland,Ólafur Helgi Kristjánsson
1534,FH Hafnarfjördur,2008/2009,PepsiMaxdeild_2008/2009,Iceland,Heimir Gudjónsson
1535,FH Hafnarfjördur,2007/2008,PepsiMaxdeild_2007/2008,Iceland,Heimir Gudjónsson
1536,Valur Reykjavík,2006/2007,PepsiMaxdeild_2006/2007,Iceland,Willum Thór Thórsson
1537,FH Hafnarfjördur,2005/2006,PepsiMaxdeild_2005/2006,Iceland,Ólafur Jóhannesson
1538,FH Hafnarfjördur,2004/2005,PepsiMaxdeild_2004/2005,Iceland,Ólafur Jóhannesson
1539,FH Hafnarfjördur,2003/2004,PepsiMaxdeild_2003/2004,Iceland,Ólafur Jóhannesson
1540,KR Reykjavík,2002/2003,PepsiMaxdeild_2002/2003,Iceland,Willum Thór Thórsson
1541,KR Reykjavík,2001/2002,PepsiMaxdeild_2001/2002,Iceland,Willum Thór Thórsson
1542,ÍA Akranes,2000/2001,PepsiMaxdeild_2000/2001,Iceland,-
1543,KR Reykjavík,1999/2000,PepsiMaxdeild_1999/2000,Iceland,-
1544,KR Reykjavík,1998/1999,PepsiMaxdeild_1998/1999,Iceland,-
1545,ÍBV Vestmannaeyjar,1997/1998,PepsiMaxdeild_1997/1998,Iceland,-
1546,ÍBV Vestmannaeyjar,1996/1997,PepsiMaxdeild_1996/1997,Iceland,-
1547,ÍA Akranes,1995/1996,PepsiMaxdeild_1995/1996,Iceland,-
1548,ÍA Akranes,1994/1995,PepsiMaxdeild_1994/1995,Iceland,-
1549,ÍA Akranes,1993/1994,PepsiMaxdeild_1993/1994,Iceland,-
1550,ÍA Akranes,1992/1993,PepsiMaxdeild_1992/1993,Iceland,-
1551,ÍA Akranes,1991/1992,PepsiMaxdeild_1991/1992,Iceland,-
1552,Víkingur Reykjavík,1990/1991,PepsiMaxdeild_1990/1991,Iceland,-
1553,Fram Reykjavík,1989/1990,PepsiMaxdeild_1989/1990,Iceland,-
1554,KA Akureyri,1988/1989,PepsiMaxdeild_1988/1989,Iceland,-
1555,Fram Reykjavík,1987/1988,PepsiMaxdeild_1987/1988,Iceland,-
1556,Valur Reykjavík,1986/1987,PepsiMaxdeild_1986/1987,Iceland,-
1557,Fram Reykjavík,1985/1986,PepsiMaxdeild_1985/1986,Iceland,-
1558,Valur Reykjavík,1984/1985,PepsiMaxdeild_1984/1985,Iceland,-
1559,ÍA Akranes,1983/1984,PepsiMaxdeild_1983/1984,Iceland,-
1560,ÍA Akranes,1982/1983,PepsiMaxdeild_1982/1983,Iceland,-
1561,Víkingur Reykjavík,1981/1982,PepsiMaxdeild_1981/1982,Iceland,-
1562,Víkingur Reykjavík,1980/1981,PepsiMaxdeild_1980/1981,Iceland,-
1563,Valur Reykjavík,1979/1980,PepsiMaxdeild_1979/1980,Iceland,-
1564,ÍBV Vestmannaeyjar,1978/1979,PepsiMaxdeild_1978/1979,Iceland,-
1565,Valur Reykjavík,1977/1978,PepsiMaxdeild_1977/1978,Iceland,-
1566,ÍA Akranes,1976/1977,PepsiMaxdeild_1976/1977,Iceland,-
1567,Valur Reykjavík,1975/1976,PepsiMaxdeild_1975/1976,Iceland,-
1568,ÍA Akranes,1974/1975,PepsiMaxdeild_1974/1975,Iceland,-
1569,ÍA Akranes,1973/1974,PepsiMaxdeild_1973/1974,Iceland,-
1570,Keflavík ÍF,1972/1973,PepsiMaxdeild_1972/1973,Iceland,-
1571,Fram Reykjavík,1971/1972,PepsiMaxdeild_1971/1972,Iceland,-
1572,Keflavík ÍF,1970/1971,PepsiMaxdeild_1970/1971,Iceland,-
1573,ÍA Akranes,1969/1970,PepsiMaxdeild_1969/1970,Iceland,-
1574,Keflavík ÍF,1968/1969,PepsiMaxdeild_1968/1969,Iceland,-
1575,KR Reykjavík,1967/1968,PepsiMaxdeild_1967/1968,Iceland,-
1576,Valur Reykjavík,1966/1967,PepsiMaxdeild_1966/1967,Iceland,-
1577,Valur Reykjavík,1965/1966,PepsiMaxdeild_1965/1966,Iceland,-
1578,KR Reykjavík,1964/1965,PepsiMaxdeild_1964/1965,Iceland,-
1579,Keflavík ÍF,1963/1964,PepsiMaxdeild_1963/1964,Iceland,-
1580,KR Reykjavík,1962/1963,PepsiMaxdeild_1962/1963,Iceland,-
1581,Fram Reykjavík,1961/1962,PepsiMaxdeild_1961/1962,Iceland,-
1582,KR Reykjavík,1960/1961,PepsiMaxdeild_1960/1961,Iceland,-
1583,ÍA Akranes,1959/1960,PepsiMaxdeild_1959/1960,Iceland,-
1584,KR Reykjavík,1958/1959,PepsiMaxdeild_1958/1959,Iceland,-
1585,ÍA Akranes,1957/1958,PepsiMaxdeild_1957/1958,Iceland,-
1586,ÍA Akranes,1956/1957,PepsiMaxdeild_1956/1957,Iceland,-
1587,Valur Reykjavík,1955/1956,PepsiMaxdeild_1955/1956,Iceland,-
1588,KR Reykjavík,1954/1955,PepsiMaxdeild_1954/1955,Iceland,-
1589,ÍA Akranes,1953/1954,PepsiMaxdeild_1953/1954,Iceland,-
1590,ÍA Akranes,1952/1953,PepsiMaxdeild_1952/1953,Iceland,-
1591,KR Reykjavík,1951/1952,PepsiMaxdeild_1951/1952,Iceland,-
1592,ÍA Akranes,1950/1951,PepsiMaxdeild_1950/1951,Iceland,-
1593,KR Reykjavík,1949/1950,PepsiMaxdeild_1949/1950,Iceland,-
1594,KR Reykjavík,1948/1949,PepsiMaxdeild_1948/1949,Iceland,-
1595,KR Reykjavík,1947/1948,PepsiMaxdeild_1947/1948,Iceland,-
1596,Fram Reykjavík,1946/1947,PepsiMaxdeild_1946/1947,Iceland,-
1597,Fram Reykjavík,1945/1946,PepsiMaxdeild_1945/1946,Iceland,-
1598,Valur Reykjavík,1944/1945,PepsiMaxdeild_1944/1945,Iceland,-
1599,Valur Reykjavík,1943/1944,PepsiMaxdeild_1943/1944,Iceland,-
1600,Valur Reykjavík,1942/1943,PepsiMaxdeild_1942/1943,Iceland,-
1601,Valur Reykjavík,1941/1942,PepsiMaxdeild_1941/1942,Iceland,-
1602,KR Reykjavík,1940/1941,PepsiMaxdeild_1940/1941,Iceland,-
1603,Valur Reykjavík,1939/1940,PepsiMaxdeild_1939/1940,Iceland,-
1604,Fram Reykjavík,1938/1939,PepsiMaxdeild_1938/1939,Iceland,-
1605,Valur Reykjavík,1937/1938,PepsiMaxdeild_1937/1938,Iceland,-
1606,Valur Reykjavík,1936/1937,PepsiMaxdeild_1936/1937,Iceland,-
1607,Valur Reykjavík,1935/1936,PepsiMaxdeild_1935/1936,Iceland,-
1608,Valur Reykjavík,1934/1935,PepsiMaxdeild_1934/1935,Iceland,-
1609,KR Reykjavík,1933/1934,PepsiMaxdeild_1933/1934,Iceland,-
1610,Valur Reykjavík,1932/1933,PepsiMaxdeild_1932/1933,Iceland,-
1611,KR Reykjavík,1931/1932,PepsiMaxdeild_1931/1932,Iceland,-
1612,KR Reykjavík,1930/1931,PepsiMaxdeild_1930/1931,Iceland,-
1613,Valur Reykjavík,1929/1930,PepsiMaxdeild_1929/1930,Iceland,-
1614,KR Reykjavík,1928/1929,PepsiMaxdeild_1928/1929,Iceland,-
1615,KR Reykjavík,1927/1928,PepsiMaxdeild_1927/1928,Iceland,-
1616,KR Reykjavík,1926/1927,PepsiMaxdeild_1926/1927,Iceland,-
1617,KR Reykjavík,1925/1926,PepsiMaxdeild_1925/1926,Iceland,-
1618,Fram Reykjavík,1924/1925,PepsiMaxdeild_1924/1925,Iceland,-
1619,Víkingur Reykjavík,1923/1924,PepsiMaxdeild_1923/1924,Iceland,-
1620,Fram Reykjavík,1922/1923,PepsiMaxdeild_1922/1923,Iceland,-
1621,Fram Reykjavík,1921/1922,PepsiMaxdeild_1921/1922,Iceland,-
1622,Fram Reykjavík,1920/1921,PepsiMaxdeild_1920/1921,Iceland,-
1623,Víkingur Reykjavík,1919/1920,PepsiMaxdeild_1919/1920,Iceland,-
1624,KR Reykjavík,1918/1919,PepsiMaxdeild_1918/1919,Iceland,-
1625,Fram Reykjavík,1917/1918,PepsiMaxdeild_1917/1918,Iceland,-
1626,Fram Reykjavík,1916/1917,PepsiMaxdeild_1916/1917,Iceland,-
1627,Fram Reykjavík,1915/1916,PepsiMaxdeild_1915/1916,Iceland,-
1628,Fram Reykjavík,1914/1915,PepsiMaxdeild_1914/1915,Iceland,-
1629,Fram Reykjavík,1913/1914,PepsiMaxdeild_1913/1914,Iceland,-
1630,Fram Reykjavík,1912/1913,PepsiMaxdeild_1912/1913,Iceland,-
1631,KR Reykjavík,1911/1912,PepsiMaxdeild_1911/1912,Iceland,-
1632,Juventus FC,2018/2019,SerieA_2018/2019,Italy,Massimiliano Allegri
1633,Juventus FC,2017/2018,SerieA_2017/2018,Italy,Massimiliano Allegri
1634,Juventus FC,2016/2017,SerieA_2016/2017,Italy,Massimiliano Allegri
1635,Juventus FC,2015/2016,SerieA_2015/2016,Italy,Massimiliano Allegri
1636,Juventus FC,2014/2015,SerieA_2014/2015,Italy,Massimiliano Allegri
1637,Juventus FC,2013/2014,SerieA_2013/2014,Italy,Antonio Conte
1638,Juventus FC,2012/2013,SerieA_2012/2013,Italy,Antonio Conte
1639,Juventus FC,2011/2012,SerieA_2011/2012,Italy,Antonio Conte
1640,AC Milan,2010/2011,SerieA_2010/2011,Italy,Massimiliano Allegri
1641,FC Internazionale,2009/2010,SerieA_2009/2010,Italy,José Mourinho
1642,FC Internazionale,2008/2009,SerieA_2008/2009,Italy,José Mourinho
1643,FC Internazionale,2007/2008,SerieA_2007/2008,Italy,Roberto Mancini
1644,FC Internazionale,2006/2007,SerieA_2006/2007,Italy,Roberto Mancini
1645,FC Internazionale,2005/2006,SerieA_2005/2006,Italy,Roberto Mancini
1646,Milan AC,2003/2004,SerieA_2003/2004,Italy,Carlo Ancelotti
1647,Juventus FC,2002/2003,SerieA_2002/2003,Italy,Marcello Lippi
1648,Juventus FC,2001/2002,SerieA_2001/2002,Italy,Marcello Lippi
1649,AS Roma,2000/2001,SerieA_2000/2001,Italy,Fabio Capello
1650,SS Lazio,1999/1900,SerieA_1999/1900,Italy,Sven-Göran Eriksson
1651,Milan AC,1998/1999,SerieA_1998/1999,Italy,Alberto Zaccheroni
1652,Juventus FC,1997/1998,SerieA_1997/1998,Italy,Marcello Lippi
1653,Juventus FC,1996/1997,SerieA_1996/1997,Italy,Marcello Lippi
1654,Milan AC,1995/1996,SerieA_1995/1996,Italy,Fabio Capello
1655,Juventus FC,1994/1995,SerieA_1994/1995,Italy,Marcello Lippi
1656,Milan AC,1993/1994,SerieA_1993/1994,Italy,Fabio Capello
1657,Milan AC,1992/1993,SerieA_1992/1993,Italy,Fabio Capello
1658,Milan AC,1991/1992,SerieA_1991/1992,Italy,Fabio Capello
1659,UC Sampdoria,1990/1991,SerieA_1990/1991,Italy,Vujadin Boskov
1660,SSC Napoli,1989/1990,SerieA_1989/1990,Italy,Alberto Bigon
1661,FC Internazionale,1988/1989,SerieA_1988/1989,Italy,Giovanni Trapattoni
1662,Milan AC,1987/1988,SerieA_1987/1988,Italy,Arrigo Sacchi
1663,SSC Napoli,1986/1987,SerieA_1986/1987,Italy,Ottavio Bianchi
1664,Juventus FC,1985/1986,SerieA_1985/1986,Italy,Giovanni Trapattoni
1665,AC Hellas Verona,1984/1985,SerieA_1984/1985,Italy,Osvaldo Bagnoli
1666,Juventus FC,1983/1984,SerieA_1983/1984,Italy,Giovanni Trapattoni
1667,AS Roma,1982/1983,SerieA_1982/1983,Italy,Nils Liedholm
1668,Juventus FC,1981/1982,SerieA_1981/1982,Italy,Giovanni Trapattoni
1669,Juventus FC,1980/1981,SerieA_1980/1981,Italy,Giovanni Trapattoni
1670,FC Internazionale,1979/1980,SerieA_1979/1980,Italy,Eugenio Bersellini
1671,Milan AC,1978/1979,SerieA_1978/1979,Italy,Nils Liedholm
1672,Juventus FC,1977/1978,SerieA_1977/1978,Italy,Giovanni Trapattoni
1673,Juventus FC,1976/1977,SerieA_1976/1977,Italy,Giovanni Trapattoni
1674,AC Torino,1975/1976,SerieA_1975/1976,Italy,Luigi Radice
1675,Juventus FC,1974/1975,SerieA_1974/1975,Italy,Carlo Parola
1676,SS Lazio,1973/1974,SerieA_1973/1974,Italy,Tommaso Maestrelli
1677,Juventus FC,1972/1973,SerieA_1972/1973,Italy,Cestmir Vycpalek
1678,Juventus FC,1971/1972,SerieA_1971/1972,Italy,Cestmir Vycpalek
1679,FC Internazionale,1970/1971,SerieA_1970/1971,Italy,-
1680,Unione Sportiva Cagliari,1969/1970,SerieA_1969/1970,Italy,-
1681,AC Fiorentina,1968/1969,SerieA_1968/1969,Italy,Bruno Pesaola
1682,Milan AC,1967/1968,SerieA_1967/1968,Italy,Nereo Rocco
1683,Juventus FC,1966/1967,SerieA_1966/1967,Italy,Heriberto Herrera
1684,FC Internazionale,1965/1966,SerieA_1965/1966,Italy,Helenio Herrera
1685,FC Internazionale,1964/1965,SerieA_1964/1965,Italy,Helenio Herrera
1686,Bologna FC 1909,1963/1964,SerieA_1963/1964,Italy,Fulvio Bernardini
1687,FC Internazionale,1962/1963,SerieA_1962/1963,Italy,Helenio Herrera
1688,AC Milan,1961/1962,SerieA_1961/1962,Italy,Nereo Rocco
1689,Juventus FC,1960/1961,SerieA_1960/1961,Italy,Carlo Parola
1690,Juventus FC,1959/1960,SerieA_1959/1960,Italy,Carlo Parola
1691,AC Milan,1958/1959,SerieA_1958/1959,Italy,Giuseppe Viani
1692,Juventus FC,1957/1958,SerieA_1957/1958,Italy,Ljubisa Brocic †
1693,AC Milan,1956/1957,SerieA_1956/1957,Italy,Giuseppe Viani
1694,AC Fiorentina,1955/1956,SerieA_1955/1956,Italy,Fulvio Bernardini
1695,AC Milan,1954/1955,SerieA_1954/1955,Italy,Ettore Puricelli
1696,FC Internazionale,1953/1954,SerieA_1953/1954,Italy,Alfredo Foni
1697,FC Internazionale,1952/1953,SerieA_1952/1953,Italy,Alfredo Foni
1698,Juventus FC,1951/1952,SerieA_1951/1952,Italy,Dr. György Sárosi
1699,AC Milan,1950/1951,SerieA_1950/1951,Italy,Lajos Czeizler
1700,Juventus FC,1949/1950,SerieA_1949/1950,Italy,Jesse Carver
1701,AC Torino,1948/1949,SerieA_1948/1949,Italy,Leslie Lievesley †
1702,AC Torino,1947/1948,SerieA_1947/1948,Italy,Mario Sperone
1703,AC Torino,1946/1947,SerieA_1946/1947,Italy,Luigi Ferrero †
1704,AC Torino,1945/1946,SerieA_1945/1946,Italy,Luigi Ferrero †
1705,AC Torino,1942/1943,SerieA_1942/1943,Italy,Antonio Janni
1706,AS Roma,1941/1942,SerieA_1941/1942,Italy,Alfréd Schaffer
1707,Bologna AGC,1940/1941,SerieA_1940/1941,Italy,Hermann Felsner †
1708,AS Ambrosiana-Inter,1939/1940,SerieA_1939/1940,Italy,Toni Cargnelli †
1709,Bologna AGC,1938/1939,SerieA_1938/1939,Italy,Hermann Felsner †
1710,AS Ambrosiana-Inter,1937/1938,SerieA_1937/1938,Italy,Armando Castellazzi
1711,Bologna AGC,1936/1937,SerieA_1936/1937,Italy,Árpád Weisz †
1712,Bologna AGC,1935/1936,SerieA_1935/1936,Italy,Árpád Weisz †
1713,Juventus FC,1934/1935,SerieA_1934/1935,Italy,Carlo Bigatto
1714,Juventus FC,1933/1934,SerieA_1933/1934,Italy,Carlo Carcano
1715,Juventus FC,1932/1933,SerieA_1932/1933,Italy,Carlo Carcano
1716,Juventus FC,1931/1932,SerieA_1931/1932,Italy,Carlo Carcano
1717,Juventus FC,1930/1931,SerieA_1930/1931,Italy,Carlo Carcano
1718,AS Ambrosiana,1929/1930,SerieA_1929/1930,Italy,Árpád Weisz †
1719,Bologna SC,1928/1929,SerieA_1928/1929,Italy,Hermann Felsner †
1720,FBC Torino,1927/1928,SerieA_1927/1928,Italy,Toni Cargnelli †
1721,Juventus FC,1925/1926,SerieA_1925/1926,Italy,Jenő Károly
1722,Bologna FC,1924/1925,SerieA_1924/1925,Italy,Hermann Felsner †
1723,Genoa CFC,1923/1924,SerieA_1923/1924,Italy,William Garbutt
1724,Genoa CFC,1922/1923,SerieA_1922/1923,Italy,William Garbutt
1725,US Pro Vercelli,1921/1922,SerieA_1921/1922,Italy,Guido Ara
1726,US Novese,1921/1922,SerieA_1921/1922,Italy,Guido Ara
1727,US Pro Vercelli,1920/1921,SerieA_1920/1921,Italy,Guido Ara
1728,FC Internazionale,1919/1920,SerieA_1919/1920,Italy,Nino Resegotti †
1729,Genoa CFC,1914/1915,SerieA_1914/1915,Italy,William Garbutt
1730,Casale FBC,1913/1914,SerieA_1913/1914,Italy,Umberto Barbesino †
1731,SG Pro Vercelli,1912/1913,SerieA_1912/1913,Italy,Giuseppe Milano
1732,SG Pro Vercelli,1911/1912,SerieA_1911/1912,Italy,Giuseppe Milano
1733,SG Pro Vercelli,1910/1911,SerieA_1910/1911,Italy,Giuseppe Milano
1734,FC Internazionale,1909/1910,SerieA_1909/1910,Italy,Virgilio Fossati
1735,SG Pro Vercelli,1908/1909,SerieA_1908/1909,Italy,Giuseppe Milano
1736,SG Pro Vercelli,1907/1908,SerieA_1907/1908,Italy,Marcello Bertinetti †
1737,Milan FBCC,1906/1907,SerieA_1906/1907,Italy,Daniele Angeloni †
1738,Milan FBCC,1905/1906,SerieA_1905/1906,Italy,Herbert Kilpin †
1739,Juventus FC,1904/1905,SerieA_1904/1905,Italy,Domenico Donna †
1740,Genoa CFC,1903/1904,SerieA_1903/1904,Italy,Karl Senft †
1741,Genoa CFC,1902/1903,SerieA_1902/1903,Italy,Karl Senft †
1742,Genoa CFC,1901/1902,SerieA_1901/1902,Italy,James Spensley †
1743,Milan FBCC,1900/1901,SerieA_1900/1901,Italy,Herbert Kilpin †
1744,Genoa CFC,1899/1900,SerieA_1899/1900,Italy,James Spensley †
1745,Genoa CAC,1898/1999,SerieA_1898/1999,Italy,James Spensley †
1746,Genoa CAC,1897/1998,SerieA_1897/1998,Italy,James Spensley †
1747,Brescia Calcio,2018/2019,SerieB_2018/2019,Italy,Eugenio Corini
1748,FC Empoli,2017/2018,SerieB_2017/2018,Italy,Aurelio Andreazzoli
1749,SPAL 2013,2016/2017,SerieB_2016/2017,Italy,Leonardo Semplici
1750,Cagliari Calcio,2015/2016,SerieB_2015/2016,Italy,Massimo Rastelli
1751,Carpi FC 1909,2014/2015,SerieB_2014/2015,Italy,Fabrizio Castori
1752,US Palermo,2013/2014,SerieB_2013/2014,Italy,Giuseppe Iachini
1753,US Sassuolo,2012/2013,SerieB_2012/2013,Italy,Eusebio Di Francesco
1754,Delfino Pescara 1936,2011/2012,SerieB_2011/2012,Italy,Zdenek Zeman
1755,Atalanta BC,2010/2011,SerieB_2010/2011,Italy,Stefano Colantuono
1756,US Lecce,2009/2010,SerieB_2009/2010,Italy,Luigi De Canio
1757,AS Bari,2008/2009,SerieB_2008/2009,Italy,Antonio Conte
1758,Chievo Verona,2007/2008,SerieB_2007/2008,Italy,Giuseppe Iachini
1759,Juventus FC,2006/2007,SerieB_2006/2007,Italy,Giancarlo Corradini
1760,Atalanta BC,2005/2006,SerieB_2005/2006,Italy,Stefano Colantuono
1761,FC Empoli,2004/2005,SerieB_2004/2005,Italy,Mario Somma
1762,US Palermo,2003/2004,SerieB_2003/2004,Italy,Francesco Guidolin
1763,AC Siena,2002/2003,SerieB_2002/2003,Italy,Giuseppe Papadopulo
1764,Como Calcio,2001/2002,SerieB_2001/2002,Italy,Loris Dominissini
1765,Torino Calcio,2000/2001,SerieB_2000/2001,Italy,Giancarlo Camolese
1766,Vicenza Calcio,1999/1900,SerieB_1999/1900,Italy,Edoardo Reja
1767,Hellas Verona,1998/1999,SerieB_1998/1999,Italy,Cesare Prandelli
1768,US Salernitana,1997/1998,SerieB_1997/1998,Italy,Delio Rossi
1769,Brescia Calcio,1996/1997,SerieB_1996/1997,Italy,Edoardo Reja
1770,Bologna FC 1909,1995/1996,SerieB_1995/1996,Italy,Renzo Ulivieri
1771,Piacenza FC,1994/1995,SerieB_1994/1995,Italy,Luigi Cagni
1772,AC Fiorentina,1993/1994,SerieB_1993/1994,Italy,Claudio Ranieri
1773,AC Reggiana,1992/1993,SerieB_1992/1993,Italy,Giuseppe Marchioro
1774,Brescia Calcio,1991/1992,SerieB_1991/1992,Italy,Mircea Lucescu
1775,Foggia Calcio,1990/1991,SerieB_1990/1991,Italy,Zdenek Zeman
1776,Torino Calcio,1989/1990,SerieB_1989/1990,Italy,Eugenio Fascetti
1777,Genoa 1893,1988/1989,SerieB_1988/1989,Italy,Francesco Scoglio
1778,Bologna FC 1909,1987/1988,SerieB_1987/1988,Italy,Luigi Maifredi
1779,AC Pisa 1909,1986/1987,SerieB_1986/1987,Italy,Luigi Simoni
1780,Delfino Pescara 1936,1986/1987,SerieB_1986/1987,Italy,Luigi Simoni
1781,Ascoli Calcio 1898,1985/1986,SerieB_1985/1986,Italy,Vujadin Boskov
1782,AC Pisa 1909,1984/1985,SerieB_1984/1985,Italy,Luigi Simoni
1783,Atalanta BC,1983/1984,SerieB_1983/1984,Italy,Nedo Sonetti
1784,Milan AC,1982/1983,SerieB_1982/1983,Italy,Ilario Castagner
1785,AC Hellas Verona,1981/1982,SerieB_1981/1982,Italy,Osvaldo Bagnoli
1786,Milan AC,1980/1981,SerieB_1980/1981,Italy,Massimo Giacomini
1787,Como Calcio,1979/1980,SerieB_1979/1980,Italy,Giuseppe Marchioro
1788,Udinese Calcio,1978/1979,SerieB_1978/1979,Italy,Massimo Giacomini
1789,Ascoli Calcio 1898,1977/1978,SerieB_1977/1978,Italy,Antonio Renna
1790,Lanerossi Vicenza,1976/1977,SerieB_1976/1977,Italy,-
1791,Genoa 1893,1975/1976,SerieB_1975/1976,Italy,Luigi Simoni
1792,AC Perugia,1974/1975,SerieB_1974/1975,Italy,Ilario Castagner
1793,Varese FC,1973/1974,SerieB_1973/1974,Italy,Pietro Maroso
1794,Genoa 1893,1972/1973,SerieB_1972/1973,Italy,Arturo Silvestri
1795,AC Ternana,1971/1972,SerieB_1971/1972,Italy,Tommaso Maestrelli
1796,AC Mantova,1970/1971,SerieB_1970/1971,Italy,Gustavo Giagnoni
1797,Varese FC,1969/1970,SerieB_1969/1970,Italy,Nils Liedholm
1798,SS Lazio,1968/1969,SerieB_1968/1969,Italy,-
1799,SSC Palermo,1967/1968,SerieB_1967/1968,Italy,Carmelo Di Bella
1800,UC Sampdoria,1966/1967,SerieB_1966/1967,Italy,Fulvio Bernardini
1801,AC Venezia,1965/1966,SerieB_1965/1966,Italy,Armando Segato
1802,AC Brescia,1964/1965,SerieB_1964/1965,Italy,Renato Gei
1803,Varese FC,1963/1964,SerieB_1963/1964,Italy,Ettore Puricelli
1804,AC Riunite Messina,1962/1963,SerieB_1962/1963,Italy,Umberto Mannocci †
1805,Genoa CFC,1961/1962,SerieB_1961/1962,Italy,Renato Gei
