,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value,Captain
20,Hee-chan Hwang,24 Years,"Jan 26, 1996 ","Korea, South",Forward,Red Bull Salzburg,9,€12.50m,-
21,Patson Daka,21 Years,"Oct 9, 1998 ",Zambia,Forward,Red Bull Salzburg,20,€8.00m,-
22,Karim Adeyemi,18 Years,"Jan 18, 2002 ",Germany,Forward,Red Bull Salzburg,27,€7.50m,-
23,Sekou Koita,20 Years,"Nov 28, 1999 ",Mali,Forward,Red Bull Salzburg,7,€5.00m,-
24,Mërgim Berisha,21 Years,"May 11, 1998 ",Germany,Forward,Red Bull Salzburg,8,€1.80m,-
25,Richard Strebinger,27 Years,"Feb 14, 1993 ",Austria,Goalkeeper,Rapid Vienna,1,€3.50m,-
26,Tobias Knoflach,26 Years,"Dec 30, 1993 ",Austria,Goalkeeper,Rapid Vienna,21,€400k,-
27,Paul Gartler,23 Years,"Mar 10, 1997 ",Austria,Goalkeeper,Rapid Vienna,25,€250k,-
28,Mateo Barac,25 Years,"Jul 20, 1994 ",Croatia,Defender,Rapid Vienna,4,€1.00m,-
29,Christopher Dibon,29 Years,"Nov 2, 1990 ",Austria,Defender,Rapid Vienna,17,€800k,-
30,Maximilian Hofmann,26 Years,"Aug 7, 1993 ",Austria,Defender,Rapid Vienna,20,€500k,-
31,Mario Sonnleitner,33 Years,"Oct 8, 1986 ",Austria,Defender,Rapid Vienna,6,€400k,-
32,Leo Greiml,18 Years,"Jul 3, 2001 ",Austria,Defender,Rapid Vienna,30,€250k,-
33,Maximilian Ullmann,23 Years,"Jun 17, 1996 ",Austria,Defender,Rapid Vienna,31,€2.50m,-
34,Filip Stojkovic,27 Years,"Jan 22, 1993 ",Montenegro,Defender,Rapid Vienna,22,€2.25m,-
35,Stephan Auer,29 Years,"Jan 11, 1991 ",Austria,Defender,Rapid Vienna,24,€400k,-
36,Dejan Ljubicic,22 Years,"Oct 8, 1997 ",Austria,Midfielder,Rapid Vienna,39,€2.50m,-
37,Srdjan Grahovac,27 Years,"Sep 19, 1992 ",Bosnia-Herzegovina,Midfielder,Rapid Vienna,14,€900k,-
38,Dalibor Velimirovic,19 Years,"Feb 13, 2001 ",Austria,Midfielder,Rapid Vienna,47,€600k,-
39,Lion Schuster,19 Years,"Aug 9, 2000 ",Austria,Midfielder,Rapid Vienna,42,€200k,-
40,Stefan Schwab,29 Years,"Sep 27, 1990 ",Austria,Midfielder,Rapid Vienna,8,€2.00m,Team captain
41,Dejan Petrovic,22 Years,"Jan 12, 1998 ",Slovenia,Midfielder,Rapid Vienna,16,€400k,-
42,Melih Ibrahimoglu,19 Years,"Jul 17, 2000 ",Austria,Midfielder,Rapid Vienna,40,€250k,-
43,Thomas Murg,25 Years,"Nov 14, 1994 ",Austria,Midfielder,Rapid Vienna,10,€3.00m,-
44,Thorsten Schick,29 Years,"May 19, 1990 ",Austria,Midfielder,Rapid Vienna,13,€1.50m,-
45,Philipp Schobesberger,26 Years,"Dec 10, 1993 ",Austria,Midfielder,Rapid Vienna,7,€1.25m,-
46,Christoph Knasmüllner,27 Years,"Apr 30, 1992 ",Austria,Midfielder,Rapid Vienna,28,€1.75m,-
47,Tamás Szántó,24 Years,"Feb 18, 1996 ",Hungary,Midfielder,Rapid Vienna,18,€250k,-
48,Nicholas Wunsch,19 Years,"Oct 5, 2000 ",Austria,Midfielder,Rapid Vienna,49,€250k,-
49,Yusuf Demir,16 Years,"Jun 2, 2003 ",Austria,Forward,Rapid Vienna,48,€500k,-
50,Kelvin Arase,21 Years,"Jan 15, 1999 ",Austria,Forward,Rapid Vienna,36,€700k,-
51,Taxiarchis Fountas,24 Years,"Sep 4, 1995 ",Greece,Forward,Rapid Vienna,9,€2.00m,-
52,Koya Kitagawa,23 Years,"Jul 26, 1996 ",Japan,Forward,Rapid Vienna,32,€1.80m,-
53,Ercan Kara,24 Years,"Jan 3, 1996 ",Austria,Forward,Rapid Vienna,29,€350k,-
54,Alexander Schlager,24 Years,"Feb 1, 1996 ",Austria,Goalkeeper,LASK,1,€4.50m,-
55,Tobias Lawal,19 Years,"Jun 7, 2000 ",Austria,Goalkeeper,LASK,24,€300k,-
56,Thomas Gebauer,37 Years,"Jun 30, 1982 ",Austria,Goalkeeper,LASK,36,€175k,-
57,Gernot Trauner,28 Years,"Mar 25, 1992 ",Austria,Defender,LASK,18,€2.50m,Team captain
58,Philipp Wiesinger,25 Years,"May 23, 1994 ",Austria,Defender,LASK,6,€1.80m,-
59,Petar Filipovic,29 Years,"Sep 14, 1990 ",Croatia,Defender,LASK,5,€1.00m,-
60,Christian Ramsebner,31 Years,"Mar 26, 1989 ",Austria,Defender,LASK,15,€800k,-
61,Markus Wostry,27 Years,"Jul 19, 1992 ",Austria,Defender,LASK,21,€500k,-
62,Marvin Potzmann,26 Years,"Dec 7, 1993 ",Austria,Defender,LASK,16,€1.25m,-
63,David Schnegg,21 Years,"Sep 29, 1998 ",Austria,Defender,LASK,17,€250k,-
64,James Holland,30 Years,"May 15, 1989 ",Australia,Midfielder,LASK,25,€1.00m,-
65,Valentino Müller,21 Years,"Jan 19, 1999 ",Austria,Midfielder,LASK,19,€500k,-
66,Stefan Haudum,25 Years,"Nov 27, 1994 ",Austria,Midfielder,LASK,23,€300k,-
67,Daniel Jelisic,20 Years,"Feb 18, 2000 ",Germany,Midfielder,LASK,-,€150k,-
68,Peter Michorl,24 Years,"May 9, 1995 ",Austria,Midfielder,LASK,8,€3.00m,-
69,Reinhold Ranftl,28 Years,"Jan 24, 1992 ",Austria,Midfielder,LASK,26,€1.50m,-
70,Rene Renner,26 Years,"Nov 29, 1993 ",Austria,Midfielder,LASK,7,€1.00m,-
71,Husein Balic,24 Years,"Feb 15, 1996 ",Austria,Forward,LASK,14,€800k,-
72,Thomas Goiginger,27 Years,"Mar 15, 1993 ",Austria,Forward,LASK,27,€3.50m,-
73,Dominik Frieser,26 Years,"Sep 9, 1993 ",Austria,Forward,LASK,28,€1.50m,-
74,Dominik Reiter,22 Years,"Jan 4, 1998 ",Austria,Forward,LASK,11,€250k,-
75,Klauss,23 Years,"Mar 1, 1997 ",Brazil,Forward,LASK,9,€1.80m,-
76,Marko Raguz,21 Years,"Jun 10, 1998 ",Austria,Forward,LASK,29,€1.50m,-
77,Samuel Tetteh,23 Years,"Jul 28, 1996 ",Ghana,Forward,LASK,20,€1.00m,-
78,Thomas Sabitzer,19 Years,"Oct 12, 2000 ",Austria,Forward,LASK,33,€400k,-
79,Jörg Siebenhandl,30 Years,"Jan 18, 1990 ",Austria,Goalkeeper,SK Sturm Graz,27,€1.00m,-
80,Tobias Schützenauer,22 Years,"May 19, 1997 ",Austria,Goalkeeper,SK Sturm Graz,32,€200k,-
81,Christopher Giuliani,20 Years,"May 7, 1999 ",Austria,Goalkeeper,SK Sturm Graz,41,€100k,-
82,Lukas Spendlhofer,26 Years,"Jun 2, 1993 ",Austria,Defender,SK Sturm Graz,23,€1.00m,-
83,Anastasios Avlonitis,30 Years,"Jan 1, 1990 ",Greece,Defender,SK Sturm Graz,5,€900k,-
84,Isaac Donkor,24 Years,"Aug 15, 1995 ",Ghana,Defender,SK Sturm Graz,20,€800k,-
85,Florian Ferk,21 Years,"Mar 24, 1999 ",Austria,Defender,SK Sturm Graz,34,€50k,-
86,Niklas Geyrhofer,20 Years,"Feb 11, 2000 ",Austria,Defender,SK Sturm Graz,35,€50k,-
87,Thomas Schrammel,32 Years,"Sep 5, 1987 ",Austria,Defender,SK Sturm Graz,4,€350k,-
88,Vincent Trummer,19 Years,"May 18, 2000 ",Austria,Defender,SK Sturm Graz,36,€150k,-
89,Emanuel Sakic,29 Years,"Jan 25, 1991 ",Austria,Defender,SK Sturm Graz,8,€700k,-
90,Ivan Ljubic,23 Years,"Jul 7, 1996 ",Austria,Midfielder,SK Sturm Graz,30,€1.50m,-
91,Juan Domínguez,30 Years,"Jan 8, 1990 ",Spain,Midfielder,SK Sturm Graz,21,€1.00m,-
92,Lukas Jäger,26 Years,"Feb 12, 1994 ",Austria,Midfielder,SK Sturm Graz,17,€500k,-
93,Tobias Koch,19 Years,"Apr 6, 2001 ",Austria,Midfielder,SK Sturm Graz,22,€100k,-
94,Christoph Leitgeb,34 Years,"Apr 14, 1985 ",Austria,Midfielder,SK Sturm Graz,24,€250k,-
95,Stefan Hierländer,29 Years,"Feb 3, 1991 ",Austria,Midfielder,SK Sturm Graz,25,€1.50m,Team captain
96,Philipp Huspek,29 Years,"Feb 5, 1991 ",Austria,Midfielder,SK Sturm Graz,18,€600k,-
97,Jakob Jantscher,31 Years,"Jan 8, 1989 ",Austria,Midfielder,SK Sturm Graz,13,€600k,-
98,Otar Kiteishvili,24 Years,"Mar 26, 1996 ",Georgia,Midfielder,SK Sturm Graz,10,€2.00m,-
99,Dardan Shabanhaxhaj,18 Years,"Apr 23, 2001 ",Kosovo,Midfielder,SK Sturm Graz,33,,-
100,Thorsten Röcher,28 Years,"Jun 11, 1991 ",Austria,Forward,SK Sturm Graz,29,€1.00m,-
101,Kiril Despodov,23 Years,"Nov 11, 1996 ",Bulgaria,Forward,SK Sturm Graz,11,€4.00m,-
102,Winfred Amoah,19 Years,"May 18, 2000 ",Austria,Forward,SK Sturm Graz,28,€50k,-
103,Bekim Balaj,29 Years,"Jan 11, 1991 ",Albania,Forward,SK Sturm Graz,9,€1.30m,-
104,Kevin Friesenbichler,25 Years,"May 6, 1994 ",Austria,Forward,SK Sturm Graz,19,€500k,-
105,Ivan Lucic,25 Years,"Mar 23, 1995 ",Austria,Goalkeeper,Austria Vienna,13,€1.00m,-
106,Patrick Pentz,23 Years,"Jan 2, 1997 ",Austria,Goalkeeper,Austria Vienna,32,€1.00m,-
107,Mirko Kos,22 Years,"Apr 12, 1997 ",Austria,Goalkeeper,Austria Vienna,99,€250k,-
108,Erik Palmer-Brown,22 Years,"Apr 24, 1997 ",United States,Defender,Austria Vienna,23,€700k,-
109,Michael Madl,32 Years,"Mar 21, 1988 ",Austria,Defender,Austria Vienna,30,€700k,-
110,Christian Schoissengeyr,25 Years,"Oct 18, 1994 ",Austria,Defender,Austria Vienna,18,€600k,-
111,Maudo Jarjué,22 Years,"Sep 30, 1997 ",The Gambia,Defender,Austria Vienna,3,€500k,-
112,Alexandar Borkovic,20 Years,"Jun 11, 1999 ",Austria,Defender,Austria Vienna,24,€500k,-
113,Johannes Handl,21 Years,"May 7, 1998 ",Austria,Defender,Austria Vienna,46,€400k,-
114,Andreas Poulsen,20 Years,"Oct 13, 1999 ",Denmark,Defender,Austria Vienna,2,€1.50m,-
115,Caner Cavlan,28 Years,"Feb 5, 1992 ",Netherlands,Defender,Austria Vienna,22,€600k,-
116,Christoph Martschinko,26 Years,"Feb 13, 1994 ",Austria,Defender,Austria Vienna,28,€600k,-
117,Stephan Zwierschitz,29 Years,"Sep 17, 1990 ",Austria,Defender,Austria Vienna,8,€700k,-
118,Florian Klein,33 Years,"Nov 17, 1986 ",Austria,Defender,Austria Vienna,17,€500k,-
119,James Jeggo,28 Years,"Feb 12, 1992 ",Australia,Midfielder,Austria Vienna,4,€1.00m,-
120,Thomas Ebner,28 Years,"Feb 22, 1992 ",Austria,Midfielder,Austria Vienna,27,€700k,-
121,Vesel Demaku,20 Years,"Feb 5, 2000 ",Austria,Midfielder,Austria Vienna,5,€600k,-
122,Niels Hahn,18 Years,"May 24, 2001 ",Austria,Midfielder,Austria Vienna,6,€350k,-
123,Benedikt Pichler,22 Years,"Jul 20, 1997 ",Austria,Midfielder,Austria Vienna,11,€500k,-
124,Alexander Grünwald,30 Years,"May 1, 1989 ",Austria,Midfielder,Austria Vienna,10,€1.00m,Team captain
125,Dominik Prokop,22 Years,"Jun 2, 1997 ",Austria,Midfielder,Austria Vienna,16,€900k,-
126,Dominik Fitz,20 Years,"Jun 16, 1999 ",Austria,Midfielder,Austria Vienna,36,€800k,-
127,Patrick Wimmer,18 Years,"May 30, 2001 ",Austria,Midfielder,Austria Vienna,9,€200k,-
128,Manprit Sarkaria,23 Years,"Aug 26, 1996 ",Austria,Forward,Austria Vienna,39,€600k,-
129,Maximilian Sax,27 Years,"Nov 22, 1992 ",Austria,Forward,Austria Vienna,7,€800k,-
130,Christoph Monschein,27 Years,"Oct 22, 1992 ",Austria,Forward,Austria Vienna,14,€2.00m,-
131,Bright Edomwonyi,25 Years,"Jul 24, 1994 ",Nigeria,Forward,Austria Vienna,20,€700k,-
132,Alexander Kofler,33 Years,"Nov 6, 1986 ",Austria,Goalkeeper,Wolfsberger AC,31,€400k,-
133,Manuel Kuttin,26 Years,"Dec 17, 1993 ",Austria,Goalkeeper,Wolfsberger AC,29,€350k,-
134,Christian Dobnik,33 Years,"Jul 10, 1986 ",Austria,Goalkeeper,Wolfsberger AC,1,€175k,-
135,Marko Soldo,23 Years,"Sep 13, 1996 ",Austria,Goalkeeper,Wolfsberger AC,32,€100k,-
136,Miguel Vieira,29 Years,"Oct 8, 1990 ",Portugal,Defender,Wolfsberger AC,28,€500k,-
137,Manfred Gollner,29 Years,"Dec 22, 1990 ",Austria,Defender,Wolfsberger AC,4,€350k,-
138,Nemanja Rnic,35 Years,"Sep 30, 1984 ",Serbia,Defender,Wolfsberger AC,15,€350k,-
139,Dominik Baumgartner,23 Years,"Jul 20, 1996 ",Austria,Defender,Wolfsberger AC,22,€350k,-
140,Stefan Peric,23 Years,"Feb 13, 1997 ",Austria,Defender,Wolfsberger AC,5,€250k,-
141,Lukas Schmitz,31 Years,"Oct 13, 1988 ",Germany,Defender,Wolfsberger AC,7,€700k,-
142,Michael Novak,29 Years,"Dec 30, 1990 ",Austria,Defender,Wolfsberger AC,27,€650k,-
143,Stefan Gölles,28 Years,"Oct 4, 1991 ",Austria,Defender,Wolfsberger AC,39,€250k,-
144,Fabian Tauchhammer,18 Years,"Aug 17, 2001 ",Austria,Defender,Wolfsberger AC,25,€100k,-
145,Mario Leitgeb,31 Years,"Jun 30, 1988 ",Austria,Midfielder,Wolfsberger AC,16,€650k,-
146,Romano Schmid,20 Years,"Jan 27, 2000 ",Austria,Midfielder,Wolfsberger AC,11,€1.80m,-
147,Milos Jojic,28 Years,"Mar 19, 1992 ",Serbia,Midfielder,Wolfsberger AC,21,€600k,-
148,Sven Sprangler,25 Years,"Mar 27, 1995 ",Austria,Midfielder,Wolfsberger AC,19,€300k,-
149,Joshua Steiger,19 Years,"Apr 6, 2001 ",Austria,Midfielder,Wolfsberger AC,17,€250k,-
150,Lukas Schöfl,19 Years,"Feb 11, 2001 ",Austria,Midfielder,Wolfsberger AC,23,€200k,-
151,Christopher Wernitznig,30 Years,"Feb 24, 1990 ",Austria,Midfielder,Wolfsberger AC,24,€500k,-
152,Michael Liendl,34 Years,"Oct 25, 1985 ",Austria,Midfielder,Wolfsberger AC,10,€650k,Team captain
153,Bajram Syla,22 Years,"Feb 17, 1998 ",Austria,Midfielder,Wolfsberger AC,20,€100k,-
154,Cheikhou Dieng,26 Years,"Nov 23, 1993 ",Senegal,Forward,Wolfsberger AC,8,€250k,-
155,Shon Weissman,24 Years,"Feb 14, 1996 ",Israel,Forward,Wolfsberger AC,9,€3.00m,-
156,Marc Andre Schmerböck,26 Years,"Apr 1, 1994 ",Austria,Forward,Wolfsberger AC,34,€600k,-
157,Alexander Schmidt,22 Years,"Jan 19, 1998 ",Austria,Forward,Wolfsberger AC,13,€400k,-
158,Marcel Holzer,21 Years,"Oct 6, 1998 ",Austria,Forward,Wolfsberger AC,6,€75k,-
159,Andreas Leitner,26 Years,"Mar 25, 1994 ",Austria,Goalkeeper,FC Admira Wacker Mödling,1,€700k,Team captain
160,Christoph Haas,27 Years,"Jul 23, 1992 ",Austria,Goalkeeper,FC Admira Wacker Mödling,30,€100k,-
161,Marcel Köstenbauer,18 Years,"Aug 26, 2001 ",Austria,Goalkeeper,FC Admira Wacker Mödling,28,€75k,-
162,Emanuel Aiwu,19 Years,"Dec 25, 2000 ",Austria,Defender,FC Admira Wacker Mödling,27,€1.00m,-
163,Sebastian Bauer,27 Years,"Nov 7, 1992 ",Austria,Defender,FC Admira Wacker Mödling,4,€350k,-
164,Bjarne Thoelke,27 Years,"Apr 11, 1992 ",Germany,Defender,FC Admira Wacker Mödling,5,€350k,-
165,Christoph Schösswendter,31 Years,"Jul 16, 1988 ",Austria,Defender,FC Admira Wacker Mödling,6,€350k,-
166,Fabio Strauss,25 Years,"Aug 6, 1994 ",Austria,Defender,FC Admira Wacker Mödling,2,€300k,-
167,Pascal Petlach,21 Years,"Jan 18, 1999 ",Austria,Defender,FC Admira Wacker Mödling,23,€200k,-
168,Paul Koller,18 Years,"Feb 22, 2002 ",Austria,Defender,FC Admira Wacker Mödling,35,€75k,-
169,Leonardo Lukacevic,21 Years,"Jan 21, 1999 ",Austria,Defender,FC Admira Wacker Mödling,37,€400k,-
170,Milos Spasic,22 Years,"Jan 29, 1998 ",Serbia,Defender,FC Admira Wacker Mödling,3,€250k,-
171,Jonathan Scherzer,24 Years,"Jul 22, 1995 ",Austria,Defender,FC Admira Wacker Mödling,26,€250k,-
172,Mario Pavelic,26 Years,"Sep 19, 1993 ",Austria,Defender,FC Admira Wacker Mödling,25,€500k,-
173,Fabian Menig,26 Years,"Feb 26, 1994 ",Germany,Defender,FC Admira Wacker Mödling,55,€300k,-
174,Nicolas Zdichynec,18 Years,"Jan 28, 2002 ",Austria,Midfielder,FC Admira Wacker Mödling,36,€75k,-
175,Markus Lackner,29 Years,"Apr 5, 1991 ",Austria,Midfielder,FC Admira Wacker Mödling,18,€500k,-
176,Wilhelm Vorsager,22 Years,"Jun 29, 1997 ",Austria,Midfielder,FC Admira Wacker Mödling,19,€500k,-
177,Roman Kerschbaum,26 Years,"Jan 19, 1994 ",Austria,Midfielder,FC Admira Wacker Mödling,8,€400k,-
178,Morten Hjulmand,20 Years,"Jun 25, 1999 ",Denmark,Midfielder,FC Admira Wacker Mödling,14,€700k,-
179,Jung-min Kim,20 Years,"Nov 13, 1999 ","Korea, South",Midfielder,FC Admira Wacker Mödling,17,€700k,-
180,Daniel Toth,32 Years,"Jun 10, 1987 ",Austria,Midfielder,FC Admira Wacker Mödling,10,€300k,-
181,Marcus Maier,24 Years,"Dec 18, 1995 ",Austria,Midfielder,FC Admira Wacker Mödling,22,€300k,-
182,Muhammed-Cham Saracevic,19 Years,"Sep 26, 2000 ",Austria,Midfielder,FC Admira Wacker Mödling,29,€250k,-
183,Kolja Pusch,27 Years,"Feb 12, 1993 ",Germany,Midfielder,FC Admira Wacker Mödling,31,€500k,-
184,Marco Kadlec,20 Years,"Feb 28, 2000 ",Austria,Midfielder,FC Admira Wacker Mödling,20,€200k,-
185,Seth Paintsil,23 Years,"May 20, 1996 ",Ghana,Forward,FC Admira Wacker Mödling,21,€250k,-
186,Dominik Starkl,26 Years,"Nov 6, 1993 ",Austria,Forward,FC Admira Wacker Mödling,7,€250k,-
187,Sinan Bakis,25 Years,"Apr 22, 1994 ",Turkey,Forward,FC Admira Wacker Mödling,11,€800k,-
188,Markus Pink,29 Years,"Feb 24, 1991 ",Austria,Forward,FC Admira Wacker Mödling,13,€250k,-
189,Erwin Hoffer,32 Years,"Apr 14, 1987 ",Austria,Forward,FC Admira Wacker Mödling,16,€250k,-
190,Christoph Riegler,28 Years,"Mar 30, 1992 ",Austria,Goalkeeper,SKN St. Pölten,1,€750k,Team captain
191,Thomas Vollnhofer,35 Years,"Sep 2, 1984 ",Austria,Goalkeeper,SKN St. Pölten,32,€100k,-
192,Luca Meisl,21 Years,"Mar 4, 1999 ",Austria,Defender,SKN St. Pölten,5,€900k,-
193,Luan,23 Years,"May 31, 1996 ",Brazil,Defender,SKN St. Pölten,3,€700k,-
194,Ahmet Muhamedbegovic,21 Years,"Oct 30, 1998 ",Austria,Defender,SKN St. Pölten,17,€250k,-
195,Daniel Drescher,30 Years,"Oct 7, 1989 ",Austria,Defender,SKN St. Pölten,29,€250k,-
196,Daniel Petrovic,27 Years,"Nov 27, 1992 ",Austria,Defender,SKN St. Pölten,6,€200k,-
197,Christoph Klarer,19 Years,"Jun 14, 2000 ",Austria,Defender,SKN St. Pölten,14,€200k,-
198,Stefan Stangl,28 Years,"Oct 20, 1991 ",Austria,Defender,SKN St. Pölten,91,€400k,-
199,Kofi Schulz,30 Years,"Jul 21, 1989 ",Germany,Defender,SKN St. Pölten,21,€150k,-
200,Sandro Ingolitsch,22 Years,"Apr 18, 1997 ",Austria,Defender,SKN St. Pölten,22,€600k,-
201,Michael Schimpelsberger,29 Years,"Feb 12, 1991 ",Austria,Defender,SKN St. Pölten,27,€250k,-
202,Nico Gorzel,21 Years,"Jul 29, 1998 ",Germany,Midfielder,SKN St. Pölten,31,€250k,-
203,Christoph Messerer,18 Years,"Nov 10, 2001 ",Austria,Midfielder,SKN St. Pölten,38,€100k,-
204,Robert Ljubicic,20 Years,"Jul 14, 1999 ",Croatia,Midfielder,SKN St. Pölten,39,€700k,-
205,Daniel Luxbacher,28 Years,"Mar 13, 1992 ",Austria,Midfielder,SKN St. Pölten,10,€350k,-
206,Michael Ambichl,28 Years,"Apr 26, 1991 ",Austria,Midfielder,SKN St. Pölten,8,€300k,-
207,Martin Rasner,24 Years,"May 18, 1995 ",Austria,Midfielder,SKN St. Pölten,18,€300k,-
208,Dominik Hofbauer,29 Years,"Sep 19, 1990 ",Austria,Midfielder,SKN St. Pölten,4,€250k,-
209,Daniel Schütz,28 Years,"Jun 19, 1991 ",Austria,Midfielder,SKN St. Pölten,20,€250k,-
210,George Davies,23 Years,"Nov 16, 1996 ",Sierra Leone,Midfielder,SKN St. Pölten,11,€300k,-
211,Alan,23 Years,"Apr 4, 1997 ",Brazil,Midfielder,SKN St. Pölten,77,€300k,-
212,Valentin Lamprecht,18 Years,"May 13, 2001 ",Austria,Midfielder,SKN St. Pölten,24,€75k,-
213,Marcel Tanzmayr,18 Years,"Jan 13, 2002 ",Austria,Forward,SKN St. Pölten,12,,-
214,Nicolas Meister,20 Years,"Sep 28, 1999 ",Austria,Forward,SKN St. Pölten,7,€500k,-
215,Lorenz Grabovac,22 Years,"Jul 25, 1997 ",Austria,Forward,SKN St. Pölten,90,€75k,-
216,Cory Burke,28 Years,"Dec 28, 1991 ",Jamaica,Forward,SKN St. Pölten,9,€750k,-
217,Kwang-ryong Pak,27 Years,"Sep 27, 1992 ","Korea, North",Forward,SKN St. Pölten,19,€600k,-
218,Issiaka Ouédraogo,31 Years,"Aug 19, 1988 ",Burkina Faso,Forward,SKN St. Pölten,33,€200k,-
219,Martin Kobras,33 Years,"Jun 19, 1986 ",Austria,Goalkeeper,SC Rheindorf Altach,1,€400k,-
220,Reuf Durakovic,26 Years,"Mar 21, 1994 ",Austria,Goalkeeper,SC Rheindorf Altach,33,€175k,-
221,Benjamin Ozegovic,20 Years,"Aug 9, 1999 ",Austria,Goalkeeper,SC Rheindorf Altach,24,€75k,-
222,Jakob Odehnal,18 Years,"Aug 10, 2001 ",Austria,Goalkeeper,SC Rheindorf Altach,32,€50k,-
223,Jan Zwischenbrugger,29 Years,"Jun 16, 1990 ",Austria,Defender,SC Rheindorf Altach,18,€400k,-
224,Philipp Netzer,34 Years,"Oct 2, 1985 ",Austria,Defender,SC Rheindorf Altach,5,€350k,Team captain
225,Philipp Schmiedl,22 Years,"Jul 23, 1997 ",Austria,Defender,SC Rheindorf Altach,6,€200k,-
226,Matthias Maak,27 Years,"May 12, 1992 ",Austria,Defender,SC Rheindorf Altach,31,€200k,-
227,Berkay Dabanli,29 Years,"Jun 27, 1990 ",Germany,Defender,SC Rheindorf Altach,2,€100k,-
228,Leo Mätzler,17 Years,"Apr 17, 2002 ",Austria,Defender,SC Rheindorf Altach,21,€75k,-
229,Emir Karic,22 Years,"Jun 9, 1997 ",Austria,Defender,SC Rheindorf Altach,19,€500k,-
230,Emanuel Schreiner,31 Years,"Feb 2, 1989 ",Austria,Defender,SC Rheindorf Altach,16,€300k,-
231,Anderson,22 Years,"Jan 3, 1998 ",Brazil,Defender,SC Rheindorf Altach,28,€350k,-
232,Manuel Thurnwald,21 Years,"Jul 16, 1998 ",Austria,Defender,SC Rheindorf Altach,34,€350k,-
233,Ousmane Diakité,19 Years,"Jul 25, 2000 ",Mali,Midfielder,SC Rheindorf Altach,12,€900k,-
234,Alain Wiss,29 Years,"Aug 21, 1990 ",Switzerland,Midfielder,SC Rheindorf Altach,15,€150k,-
235,Samuel Oum Gouet,22 Years,"Dec 14, 1997 ",Cameroon,Midfielder,SC Rheindorf Altach,4,€1.00m,-
236,Manfred Fischer,24 Years,"Aug 6, 1995 ",Austria,Midfielder,SC Rheindorf Altach,30,€750k,-
237,Lars Nussbaumer,19 Years,"Jan 31, 2001 ",Austria,Midfielder,SC Rheindorf Altach,13,€200k,-
238,Aljaz Casar,19 Years,"Sep 17, 2000 ",Slovenia,Midfielder,SC Rheindorf Altach,23,€100k,-
239,Florian Jamnig,29 Years,"Nov 3, 1990 ",Austria,Midfielder,SC Rheindorf Altach,17,€350k,-
240,Marco Meilinger,28 Years,"Aug 3, 1991 ",Austria,Midfielder,SC Rheindorf Altach,11,€500k,-
241,Johannes Tartarotti,20 Years,"Aug 2, 1999 ",Austria,Midfielder,SC Rheindorf Altach,20,€300k,-
